Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
0.000,0.00,-1.50,0.75,47,-47,-16
0.002,0.00,-1.50,0.75,31,-47,-31
0.004,0.00,-1.50,0.75,31,-47,-31
0.006,0.12,-1.38,0.75,16,-31,-31
0.008,0.12,-1.38,0.75,16,-31,-31
0.010,0.12,-1.25,0.75,0,-31,-47
0.012,0.25,-1.12,0.75,0,-16,-47
0.014,0.38,-1.12,0.75,-16,-16,-47
0.016,0.38,-1.00,0.75,-16,-16,-47
0.018,0.50,-1.00,0.62,-16,-16,-47
0.020,0.62,-0.88,0.62,-16,0,-47
0.022,0.75,-0.88,0.50,-31,0,-47
0.024,0.88,-0.75,0.50,-31,0,-47
0.026,1.00,-0.62,0.50,-31,0,-47
0.028,1.12,-0.62,0.38,-31,0,-47
0.030,1.25,-0.62,0.38,-31,0,-47
0.032,1.38,-0.62,0.38,-31,0,-47
0.034,1.50,-0.75,0.38,-31,0,-47
0.036,1.62,-0.75,0.38,-31,0,-31
0.038,1.50,-0.75,0.38,-31,-16,-31
18.856,0.75,-0.75,0.12,0,0,0
18.858,0.75,-0.75,0.12,0,0,0
18.860,1.00,-0.50,0.12,0,0,0
18.862,1.25,-0.88,-0.12,0,0,0
18.864,1.50,-1.50,-0.38,16,16,16
18.866,2.00,-1.88,-0.12,31,16,16
18.868,2.25,-1.50,0.12,16,16,16
18.870,2.25,-1.12,-0.62,0,16,31
18.872,1.75,-0.12,-1.38,-31,0,47
18.874,1.50,0.62,-1.38,-63,-31,63
18.876,1.00,0.75,-0.50,-47,-78,63
18.878,0.62,0.25,0.00,0,-94,47
18.880,0.75,-0.62,0.00,63,-109,31
18.882,1.25,-1.50,-0.25,47,-78,31
18.884,1.25,-1.88,-0.50,47,-47,31
18.886,0.50,-1.75,-1.25,31,-63,47
18.888,-0.25,-1.25,-1.25,0,-109,31
18.890,-1.00,-0.62,-0.25,-16,-141,31
18.892,-1.50,-0.62,0.88,0,-172,16
18.894,-1.88,-1.00,1.75,31,-172,0
18.896,-2.00,-1.50,2.12,31,-141,0
18.898,-2.00,-2.25,2.12,31,-109,-16
18.900,-1.38,-2.88,1.50,16,-63,-16
18.902,-0.38,-3.00,0.88,-16,-16,-16
18.904,0.50,-2.75,0.50,-63,31,-31
18.906,1.00,-2.25,0.25,-94,47,-31
18.908,1.12,-1.75,0.50,-125,0,-31
18.910,0.88,-1.50,0.88,-109,-16,-16
18.912,0.62,-1.12,1.00,-109,-31,-31
18.914,0.50,-0.62,0.75,-125,-16,-31
18.916,0.38,-0.12,0.25,-141,0,-31
18.918,0.50,0.38,-0.25,-156,16,-31
18.920,0.75,0.75,-0.62,-156,16,-47
18.922,0.75,0.88,-0.75,-125,16,-47
18.924,0.75,0.62,-0.75,-94,16,-31
18.926,0.88,0.12,-0.62,-63,0,-31
18.928,1.12,-0.38,-0.50,-47,16,-31
18.930,1.38,-0.75,-0.62,-47,16,-31
18.932,1.62,-1.00,-1.00,-47,16,-31
18.934,1.75,-1.12,-1.12,-47,16,-16
18.936,1.75,-1.12,-1.12,-47,16,-16
18.938,1.62,-1.00,-1.00,-47,0,0
18.940,1.38,-0.75,-0.88,-47,0,0
18.942,1.25,-0.50,-0.75,-47,-16,0
18.944,1.00,-0.12,-0.75,-47,-16,16
18.946,0.88,0.12,-0.75,-47,0,16
18.948,0.75,0.50,-0.88,-47,0,16
18.950,0.62,0.88,-0.88,-31,0,16
18.952,0.38,1.12,-0.88,0,16,16
18.954,0.25,1.12,-0.75,16,16,16
18.956,0.00,1.00,-0.62,47,16,16
18.958,-0.12,1.00,-0.62,63,31,16
18.960,-0.25,0.75,-0.50,78,31,16
18.962,-0.25,0.62,-0.50,109,47,16
18.964,-0.25,0.25,-0.38,125,63,16
18.966,-0.25,-0.25,-0.38,156,78,16
18.968,0.00,-0.62,-0.38,172,78,16
18.970,0.25,-1.12,-0.25,172,94,16
18.972,0.50,-1.50,-0.25,188,109,16
18.974,0.62,-1.75,-0.25,172,109,16
18.976,0.50,-1.62,-0.38,172,109,16
18.978,0.38,-1.38,-0.38,156,109,16
18.980,0.12,-1.12,-0.25,125,94,0
18.982,-0.25,-0.75,0.00,125,78,0
18.984,-0.38,-0.50,0.25,125,78,-16
